run,timestep,color,group,dest,counter,measure,value
staci,45449,k,15,C12,spf,min,1.0238352371732002
staci,45449,k,15,C12,spf,max,6.8122386451080015
staci,45449,k,15,C12,spf,avg,3.9658664710956315
staci,45449,b,10,G05,flits,min,398545.0
staci,45449,b,10,G05,flits,max,1341502.0
staci,45449,b,10,G05,flits,avg,726243.5
staci,45449,b,10,G05,stalls,min,7301976.0
staci,45449,b,10,G05,stalls,max,15449797.0
staci,45449,b,10,G05,stalls,avg,11490090.083333334
staci,45449,b,10,G05,spf,min,7.018966054467306
staci,45449,b,10,G05,spf,max,27.783198885947634
staci,45449,b,10,G05,spf,avg,17.502613991366584
staci,45449,k,09,C09,flits,min,151163.0
staci,45449,k,09,C09,flits,max,830210.0
staci,45449,k,09,C09,flits,avg,369572.06666666665
staci,45449,k,09,C09,stalls,min,1080058.0
staci,45449,k,09,C09,stalls,max,9198794.0
staci,45449,k,09,C09,stalls,avg,4244888.533333333
staci,45449,k,09,C09,spf,min,4.67993280517649
staci,45449,k,09,C09,spf,max,24.080528965421433
staci,45449,k,09,C09,spf,avg,11.655232652899258
staci,45449,k,10,C07,flits,min,287535.0
staci,45449,k,10,C07,flits,max,857626.0
staci,45449,k,10,C07,flits,avg,526734.4
staci,45449,k,10,C07,stalls,min,8720541.0
staci,45449,k,10,C07,stalls,max,18744589.0
staci,45449,k,10,C07,stalls,avg,14282779.566666666
staci,45449,k,10,C07,spf,min,13.710006990926452
staci,45449,k,10,C07,spf,max,63.33551045959622
staci,45449,k,10,C07,spf,avg,28.935993422194365
staci,45449,k,15,C10,flits,min,349473.0
staci,45449,k,15,C10,flits,max,1405086.0
staci,45449,k,15,C10,flits,avg,721111.5
staci,45449,k,15,C10,stalls,min,186588.0
staci,45449,k,15,C10,stalls,max,2027627.0
staci,45449,k,15,C10,stalls,avg,1027972.7666666667
staci,45449,k,15,C10,spf,min,0.2048029714805046
staci,45449,k,15,C10,spf,max,3.9597318127331973
staci,45449,k,15,C10,spf,avg,1.6051606279089419
staci,45449,b,05,G15,flits,min,857864.0
staci,45449,b,05,G15,flits,max,1571277.0
staci,45449,b,05,G15,flits,avg,1263138.25
staci,45449,b,05,G15,stalls,min,199625.0
staci,45449,b,05,G15,stalls,max,1311465.0
staci,45449,b,05,G15,stalls,avg,668163.0
staci,45449,b,05,G15,spf,min,0.13410278268732237
staci,45449,b,05,G15,spf,max,1.0959511064690908
staci,45449,b,05,G15,spf,avg,0.5649469231500464
staci,45449,k,06,C02,flits,min,492568.0
staci,45449,k,06,C02,flits,max,1377183.0
staci,45449,k,06,C02,flits,avg,766617.8666666667
staci,45449,k,06,C02,stalls,min,5535057.0
staci,45449,k,06,C02,stalls,max,24116869.0
staci,45449,k,06,C02,stalls,avg,15692785.2
staci,45449,k,06,C02,spf,min,9.375048907271813
staci,45449,k,06,C02,spf,max,37.09544141989762
staci,45449,k,06,C02,spf,avg,20.15521904749546
staci,45449,b,10,G09,flits,min,624676.0
staci,45449,b,10,G09,flits,max,1155445.0
staci,45449,b,10,G09,flits,avg,826957.5833333334
staci,45449,b,10,G09,stalls,min,388682.0
staci,45449,b,10,G09,stalls,max,15235455.0
staci,45449,b,10,G09,stalls,avg,6338261.75
staci,45449,b,10,G09,spf,min,0.4467953279160579
