g,r,c,n,jobid
4,1,15,3,2134898
4,1,15,2,2134898
4,1,15,1,2134898
4,1,15,0,2134898
1,3,4,1,2199656
1,3,4,3,2199656
1,3,4,2,2199656
1,3,5,1,2199656
1,3,5,0,2199656
1,3,5,3,2199656
1,3,5,2,2199656
7,2,3,0,2134898
7,2,3,1,2134898
7,2,2,0,2134898
7,2,2,1,2134898
7,2,2,2,2134898
7,2,2,3,2134898
7,2,1,0,2134898
7,2,1,1,2134898
7,2,1,2,2134898
7,2,1,3,2134898
14,0,9,2,2134898
14,0,9,3,2134898
14,0,10,0,2134898
14,0,10,1,2134898
8,4,13,2,2151490
8,4,13,3,2151490
8,4,13,0,2151490
8,4,13,1,2151490
14,0,10,2,2134898
14,0,10,3,2134898
8,4,15,0,2151490
8,4,15,1,2151490
3,4,0,1,2134898
3,4,0,0,2134898
3,3,14,3,2156311
3,3,14,2,2156311
3,3,14,1,2156311
3,3,14,0,2156311
3,3,15,3,2156311
3,3,15,2,2156311
3,3,15,1,2156311
3,3,15,0,2156311
3,5,4,3,2134898
15,0,7,2,2156311
4,0,2,0,2134898
4,0,2,1,2134898
4,0,1,2,2134898
4,0,1,3,2134898
4,0,1,0,2134898
14,3,2,3,2134898
14,3,2,2,2134898
14,3,2,1,2134898
14,3,2,0,2134898
14,3,1,3,2134898
14,3,1,2,2134898
14,3,1,1,2134898
14,3,1,0,2134898
14,3,0,3,2134898
14,3,0,2,2134898
10,2,0,0,2016372
5,0,4,1,2134898
15,0,9,2,2156311
0,5,4,3,2016372
0,5,3,3,2016372
0,5,3,2,2016372
0,5,4,1,2016372
0,5,2,3,2016372
0,5,2,2,2016372
0,5,3,1,2016372
0,5,3,0,2016372
13,2,1,1,2156311
13,2,1,2,2156311
13,2,1,3,2156311
3,5,6,1,2134898
8,5,6,0,2151490
8,5,6,1,2151490
8,5,5,2,2151490
8,5,5,3,2151490
8,5,5,0,2151490
8,5,5,1,2151490
8,5,4,2,2151490
8,5,4,3,2151490
8,5,6,2,2151490
8,5,6,3,2151490
5,1,8,3,2156311
5,1,8,2,2156311
5,1,7,3,2156311
5,1,7,2,2156311
5,1,8,1,2156311
5,1,8,0,2156311
5,1,7,1,2156311
5,1,7,0,2156311
1,1,2,2,2156311
1,1,0,2,2156311
1,1,0,3,2156311
3,2,15,2,2151490
3,3,0,1,2151490
3,3,0,2,2151490
3,3,0,3,2151490
2,1,0,0,2134898
2,1,0,1,2134898
10,2,0,2,2016372
10,2,2,3,2156311
9,2,11,1,2151490
9,2,11,0,2151490
9,2,9,1,2151490
9,2,9,0,2151490
9,2,9,3,2151490
9,2,9,2,2151490
9,2,10,1,2151490
9,2,10,0,2151490
9,2,10,3,2151490
9,2,10,2,2151490
11,3,15,3,2151490
11,3,15,2,2151490
7,4,2,3,2134898
11,3,13,3,2151490
11,3,13,2,2151490
11,3,14,1,2151490
11,3,14,0,2151490
11,3,14,3,2151490
11,3,14,2,2151490
11,3,15,1,2151490
11,3,15,0,2151490
7,4,2,1,2134898
6,2,8,0,2156311
6,2,8,1,2156311
6,2,8,2,2156311
6,2,8,3,2156311
6,2,7,0,2156311
6,2,7,1,2156311
6,2,7,2,2156311
6,2,7,3,2156311
6,2,9,0,2156311
6,2,9,1,2156311
2,4,0,2,2134898
2,3,15,1,2134898
2,3,15,0,2134898
2,3,15,3,2134898
13,5,7,3,2134898
13,5,9,0,2134898
13,5,9,1,2134898
4,1,11,1,2134898
4,1,11,0,2134898
4,1,11,3,2134898
4,1,11,2,2134898
4,1,10,1,2134898
4,1,10,0,2134898
4,1,10,3,2134898
4,1,10,2,2134898
4,1,12,1,2134898
4,1,12,0,2134898
7,1,14,0,2134898
7,1,14,1,2134898
7,1,12,2,2134898
7,1,12,3,2134898
7,1,12,0,2134898
7,1,12,1,2134898
7,1,13,2,2134898
7,1,13,3,2134898
7,1,13,0,2134898
7,1,13,1,2134898
14,0,14,0,2134898
14,0,14,1,2134898
3,4,3,3,2134898
14,0,13,3,2134898
14,0,15,0,2134898
14,0,15,1,2134898
14,0,14,2,2134898
14,0,14,3,2134898
8,4,9,0,2151490
8,4,9,1,2151490
14,0,15,2,2134898
14,0,15,3,2134898
8,4,8,0,2151490
8,4,8,1,2151490
8,4,8,2,2151490
8,4,8,3,2151490
3,0,12,1,2151490
3,0,12,0,2151490
14,2,12,3,2134898
14,2,12,2,2134898
14,2,13,1,2134898
14,2,13,0,2134898
14,2,11,3,2134898
14,2,11,2,2134898
14,2,12,1,2134898
14,2,12,0,2134898
14,2,13,3,2134898
14,2,13,2,2134898
13,2,2,1,2156311
8,2,6,1,2156311
8,2,6,0,2156311
7,1,8,1,2134898
8,2,6,3,2156311
7,1,8,3,2134898
7,1,8,2,2134898
7,1,7,1,2134898
7,1,7,0,2134898
7,1,7,3,2134898
7,1,7,2,2134898
7,1,9,1,2134898
7,1,9,0,2134898
8,2,5,1,2156311
8,2,5,2,2156311
11,2,11,2,2151490
11,2,11,3,2151490
11,2,9,2,2151490
11,2,9,3,2151490
11,2,10,0,2151490
11,2,10,1,2151490
11,2,10,2,2151490
11,2,10,3,2151490
11,2,11,0,2151490
11,2,11,1,2151490
10,2,5,2,2156311
0,4,10,2,2016372
0,4,10,3,2016372
0,4,10,0,2016372
0,4,10,1,2016372
14,1,11,3,2134898
6,2,2,2,2156311
6,2,2,3,2156311
6,2,2,0,2156311
6,2,2,1,2156311
6,2,3,2,2156311
6,2,3,3,2156311
6,2,3,0,2156311
6,2,3,1,2156311
6,2,4,0,2156311
6,2,4,1,2156311
14,0,7,3,2134898
14,0,7,2,2134898
14,0,7,1,2134898
3,4,6,3,2134898
3,4,6,0,2134898
3,4,6,1,2134898
4,1,5,3,2134898
4,1,5,2,2134898
4,1,5,1,2134898
4,1,5,0,2134898
4,1,6,3,2134898
4,1,6,2,2134898
4,1,6,1,2134898
4,1,6,0,2134898
5,1,3,3,2134898
5,1,3,2,2134898
4,1,7,1,2134898
4,1,7,0,2134898
9,1,3,3,2151490
13,1,0,3,2156311
7,2,11,0,2134898
7,2,11,1,2134898
7,2,11,2,2134898
7,2,11,3,2134898
1,2,11,3,2156311
1,2,11,2,2156311
7,2,12,2,2134898
7,2,12,3,2134898
1,2,10,3,2156311
1,2,11,1,2156311
1,2,11,0,2156311
9,1,4,3,2151490
3,4,7,2,2134898
13,0,15,3,2156311
14,0,8,0,2134898
3,0,11,3,2151490
3,0,11,2,2151490
8,4,5,0,2151490
8,4,5,1,2151490
3,0,9,3,2151490
3,0,9,2,2151490
3,0,10,1,2151490
3,0,10,0,2151490
3,0,10,3,2151490
3,0,10,2,2151490
3,0,11,1,2151490
3,0,11,0,2151490
14,2,7,1,2134898
14,2,7,0,2134898
14,2,6,3,2134898
14,2,6,2,2134898
14,2,8,1,2134898
14,2,8,0,2134898
14,2,7,3,2134898
14,2,7,2,2134898
14,2,8,3,2134898
14,2,8,2,2134898
1,1,2,3,2156311
3,2,15,0,2151490
3,2,15,1,2151490
9,5,14,2,2199656
9,5,14,3,2199656
9,5,15,0,2199656
9,5,15,1,2199656
9,5,13,2,2199656
9,5,13,3,2199656
9,5,14,0,2199656
9,5,14,1,2199656
3,3,0,0,2151490
9,5,15,2,2199656
9,5,15,3,2199656
1,1,2,0,2156311
1,1,2,1,2156311
0,5,14,3,2156311
0,5,14,2,2156311
0,5,12,3,2156311
0,5,12,2,2156311
0,5,13,1,2156311
0,5,13,0,2156311
0,5,13,3,2156311
0,5,13,2,2156311
0,5,14,1,2156311
0,5,14,0,2156311
5,5,8,3,2199656
5,5,8,2,2199656
5,5,9,1,2199656
5,5,9,0,2199656
5,5,7,3,2199656
5,5,7,2,2199656
5,5,8,1,2199656
5,5,8,0,2199656
5,5,9,3,2199656
5,5,9,2,2199656
5,2,0,3,2156311
5,2,0,2,2156311
5,2,1,1,2156311
5,2,1,0,2156311
5,2,1,3,2156311
5,2,1,2,2156311
5,2,2,1,2156311
5,2,2,0,2156311
5,2,2,3,2156311
5,2,2,2,2156311
11,4,14,0,2151490
11,4,14,1,2151490
11,4,12,2,2151490
11,4,12,3,2151490
11,4,13,0,2151490
11,4,13,1,2151490
9,5,1,3,2151490
9,5,2,2,2151490
1,0,7,2,2156311
1,0,7,3,2156311
1,0,8,0,2156311
1,0,8,1,2156311
3,3,11,0,2156311
1,0,6,3,2156311
1,0,7,0,2156311
1,0,7,1,2156311
3,3,10,0,2156311
3,3,10,1,2156311
3,3,10,2,2156311
3,3,10,3,2156311
3,3,9,0,2156311
1,0,8,3,2156311
3,3,9,2,2156311
3,3,9,3,2156311
4,3,11,3,2134898
4,3,11,2,2134898
4,3,12,1,2134898
13,4,7,1,2134898
13,4,5,2,2134898
4,3,10,2,2134898
4,3,11,1,2134898
4,3,11,0,2134898
13,4,7,2,2134898
13,4,7,3,2134898
14,1,6,1,2134898
14,1,6,0,2134898
6,1,15,0,2156311
6,1,15,1,2156311
6,1,13,0,2156311
6,1,13,1,2156311
6,1,13,2,2156311
6,1,13,3,2156311
6,1,14,0,2156311
6,1,14,1,2156311
6,1,14,2,2156311
6,1,14,3,2156311
9,0,1,1,2151490
9,0,1,0,2151490
4,4,5,2,2134898
4,4,5,3,2134898
4,4,6,0,2134898
4,4,6,1,2134898
4,4,4,2,2134898
4,4,4,3,2134898
4,4,5,0,2134898
4,4,5,1,2134898
4,4,6,2,2134898
4,4,6,3,2134898
4,1,2,1,2134898
4,1,2,0,2134898
8,2,7,1,2156311
8,2,7,0,2156311
5,0,14,3,2134898
5,0,14,2,2134898
5,0,14,1,2134898
5,0,14,0,2134898
5,0,13,3,2134898
5,0,13,2,2134898
5,0,13,1,2134898
8,2,5,0,2156311
8,2,5,3,2156311
5,0,12,2,2134898
7,2,8,0,2134898
7,2,8,1,2134898
7,2,7,2,2134898
7,2,7,3,2134898
7,2,7,0,2134898
7,2,7,1,2134898
7,2,6,2,2134898
7,2,6,3,2134898
7,2,6,0,2134898
7,2,6,1,2134898
8,3,14,0,2151490
14,1,9,1,2134898
14,1,8,2,2134898
8,3,14,3,2151490
8,3,15,0,2151490
8,3,15,1,2151490
8,3,15,2,2151490
14,1,7,3,2134898
8,4,0,0,2151490
8,4,0,1,2151490
14,1,9,2,2134898
14,1,9,3,2134898
14,2,3,3,2134898
14,2,3,2,2134898
14,2,1,3,2134898
7,5,7,2,2134898
14,2,2,1,2134898
14,2,2,0,2134898
14,2,2,3,2134898
14,2,2,2,2134898
14,2,3,1,2134898
14,2,3,0,2134898
4,5,13,0,2134898
4,5,13,1,2134898
8,3,7,2,2151490
4,5,12,3,2134898
8,3,8,0,2151490
4,5,12,1,2134898
4,5,11,2,2134898
8,3,6,3,2151490
13,2,2,3,2156311
4,5,11,1,2134898
9,5,9,0,2199656
9,5,9,1,2199656
9,5,8,2,2199656
9,5,8,3,2199656
9,5,10,0,2199656
9,5,10,1,2199656
9,5,9,2,2199656
9,5,9,3,2199656
9,5,10,2,2199656
9,5,10,3,2199656
11,4,9,2,2151490
11,4,9,3,2151490
11,4,8,0,2151490
11,4,8,1,2151490
11,4,7,2,2151490
11,4,7,3,2151490
11,4,9,0,2151490
11,4,9,1,2151490
11,4,8,2,2151490
11,4,8,3,2151490
13,4,10,1,2134898
13,4,10,0,2134898
13,4,8,1,2134898
13,4,8,0,2134898
13,4,8,3,2134898
13,4,8,2,2134898
13,4,9,1,2134898
13,4,9,0,2134898
13,4,9,3,2134898
