sg,sr,sg,dg,dr,dc,color,value
14,0,0,14,5,0,k,0.440778
0,0,0,0,5,0,k,0.475509
1,0,0,1,5,0,k,0.477647
2,0,0,2,5,0,k,0.562133
3,0,0,3,5,0,k,0.466724
4,0,0,4,5,0,k,0.487293
5,0,0,5,5,0,k,0.475923
6,0,0,6,5,0,k,0.460031
7,0,0,7,5,0,k,0.592651
8,0,0,8,5,0,k,0.455299
9,0,0,9,5,0,k,0.430296
10,0,0,10,5,0,k,0.671758
11,0,0,11,5,0,k,0.506966
12,0,0,12,5,0,k,0.525281
13,0,0,13,5,0,k,0.343959
14,0,0,14,5,0,k,0.459027
0,0,1,0,0,0,g,0.744530
1,0,1,1,0,0,g,0.605398
2,0,1,2,0,0,g,0.821776
3,0,1,3,0,0,g,0.749715
4,0,1,4,0,0,g,0.372846
5,0,1,5,0,0,g,0.616122
6,0,1,6,0,0,g,0.598628
7,0,1,7,0,0,g,0.626132
8,0,1,8,0,0,g,0.689500
9,0,1,9,0,0,g,0.449457
10,0,1,10,0,0,g,0.611153
11,0,1,11,0,0,g,0.642122
12,0,1,12,0,0,g,0.480087
13,0,1,13,0,0,g,0.367893
14,0,1,14,0,0,g,0.495536
0,0,1,0,0,2,g,0.859102
1,0,1,1,0,2,g,0.528195
2,0,1,2,0,2,g,0.525367
3,0,1,3,0,2,g,0.724900
4,0,1,4,0,2,g,0.475105
5,0,1,5,0,2,g,0.467735
6,0,1,6,0,2,g,0.699458
7,0,1,7,0,2,g,0.509880
8,0,1,8,0,2,g,0.685423
9,0,1,9,0,2,g,0.705967
10,0,1,10,0,2,g,0.563312
11,0,1,11,0,2,g,0.530468
12,0,1,12,0,2,g,0.453907
13,0,1,13,0,2,g,0.723965
14,0,1,14,0,2,g,0.687576
0,0,1,0,0,3,g,0.632314
1,0,1,1,0,3,g,0.572982
2,0,1,2,0,3,g,0.517771
3,0,1,3,0,3,g,0.495697
4,0,1,4,0,3,g,0.755498
5,0,1,5,0,3,g,0.553271
6,0,1,6,0,3,g,0.598432
7,0,1,7,0,3,g,0.568540
8,0,1,8,0,3,g,0.603853
9,0,1,9,0,3,g,0.416430
10,0,1,10,0,3,g,0.805584
11,0,1,11,0,3,g,0.569780
12,0,1,12,0,3,g,0.452754
13,0,1,13,0,3,g,0.584754
14,0,1,14,0,3,g,0.538160
0,0,1,0,0,4,g,0.683664
1,0,1,1,0,4,g,0.653790
2,0,1,2,0,4,g,0.682596
3,0,1,3,0,4,g,0.828309
4,0,1,4,0,4,g,0.466751
5,0,1,5,0,4,g,0.514190
6,0,1,6,0,4,g,0.670964
7,0,1,7,0,4,g,0.825040
8,0,1,8,0,4,g,0.671946
9,0,1,9,0,4,g,0.777469
10,0,1,10,0,4,g,0.439667
11,0,1,11,0,4,g,0.689042
12,0,1,12,0,4,g,0.435879
13,0,1,13,0,4,g,0.767002
14,0,1,14,0,4,g,0.682356
0,0,1,0,0,5,g,0.488283
1,0,1,1,0,5,g,0.617402
2,0,1,2,0,5,g,0.442858
3,0,1,3,0,5,g,0.460603
4,0,1,4,0,5,g,0.557713
5,0,1,5,0,5,g,0.445079
6,0,1,6,0,5,g,0.686466
7,0,1,7,0,5,g,0.504741
8,0,1,8,0,5,g,0.906381
9,0,1,9,0,5,g,1.012172
10,0,1,10,0,5,g,0.419243
11,0,1,11,0,5,g,0.803778
12,0,1,12,0,5,g,0.431537
13,0,1,13,0,5,g,0.489770
14,0,1,14,0,5,g,0.519877
0,0,1,0,0,6,g,0.476936
1,0,1,1,0,6,g,0.752823
2,0,1,2,0,6,g,0.742058
3,0,1,3,0,6,g,0.578006
4,0,1,4,0,6,g,0.442914
5,0,1,5,0,6,g,0.452674
6,0,1,6,0,6,g,0.566230
7,0,1,7,0,6,g,0.544151
8,0,1,8,0,6,g,0.813660
9,0,1,9,0,6,g,0.500503
10,0,1,10,0,6,g,0.455534
11,0,1,11,0,6,g,0.618711
12,0,1,12,0,6,g,0.507324
13,0,1,13,0,6,g,0.430002
14,0,1,14,0,6,g,0.559109
0,0,1,0,0,7,g,0.482033
1,0,1,1,0,7,g,0.484650
