sg,sr,sc,dg,dr,dc,color,bytes,job0,job1,job2,job3,job4,job5,job6,job7
3,2,11,3,2,2,g,89.447158,7.782228,1.206476,0.010486,67.907150,11.807038,0.000000,0.163966,0.569815
4,2,11,4,2,2,g,160.406303,8.159073,0.004464,0.010896,118.790309,10.466381,0.000000,22.551315,0.423865
5,2,11,5,2,2,g,166.488224,11.144817,0.008299,0.011526,85.323405,12.719467,0.000000,56.833128,0.447582
6,2,11,6,2,2,g,159.340325,9.781569,0.005543,0.005881,89.146310,10.509500,0.000000,49.539397,0.352126
7,2,11,7,2,2,g,272.565171,8.548482,0.003431,0.005528,253.254551,8.364295,0.028562,2.037037,0.323285
8,2,11,8,2,2,g,105.385038,9.192350,0.006286,0.005008,81.739874,8.970983,1.329909,0.228195,3.912433
9,2,11,9,2,2,g,136.330509,7.713481,0.009316,0.003019,0.437324,94.347931,0.000000,0.261724,33.557715
10,2,11,10,2,2,g,216.249728,9.381607,0.004487,0.000886,0.607432,206.014640,0.000000,0.207185,0.033490
11,2,11,11,2,2,g,242.961371,9.912087,0.009226,0.001343,0.634902,232.156311,0.000000,0.247502,0.000000
12,2,11,12,2,2,g,20.152994,9.158048,0.006200,2.002406,0.793994,7.830619,0.000000,0.308469,0.053258
13,2,11,13,2,2,g,72.206415,14.015512,0.008344,0.398479,1.043927,7.727658,0.008654,0.473649,48.530191
14,2,11,14,2,2,g,38.928125,14.694409,0.008228,0.023872,1.630715,16.760610,4.728234,0.456045,0.626014
15,2,11,15,2,2,g,94.451456,12.645390,0.044237,0.006333,1.055335,45.495354,0.018515,25.423407,9.762884
0,2,11,0,2,3,g,82.360989,73.959308,0.033118,0.005068,1.350927,6.406976,0.000000,0.085564,0.520027
